BRANCH_ID,BRANCH_NAME,REGION,CITY,STATE,COUNTRY,OPEN_DATE,STATUS
BR001,Chennai Main,SOUTH,Chennai,TN,India,2015-01-01,ACTIVE
BR002,Bengaluru Central,SOUTH,Bengaluru,KA,India,2016-03-15,ACTIVE
BR003,Hyderabad Hitech,SOUTH,Hyderabad,TS,India,2017-06-10,ACTIVE
BR004,Mumbai Downtown,WEST,Mumbai,MH,India,2014-09-20,ACTIVE
BR005,Pune Market,WEST,Pune,MH,India,2018-11-05,ACTIVE
BR006,Delhi Connaught,NORTH,Delhi,DL,India,2012-04-12,ACTIVE
BR007,Noida Sector 18,NORTH,Noida,UP,India,2013-03-25,ACTIVE
BR008,Kolkata Salt Lake,EAST,Kolkata,WB,India,2016-07-19,ACTIVE
BR009,Ahmedabad CG Road,WEST,Ahmedabad,GJ,India,2019-01-30,ACTIVE
BR010,Jaipur Pink City,NORTH,Jaipur,RJ,India,2020-05-18,ACTIVE
BR011,Kochi Marine,SOUTH,Kochi,KL,India,2020-08-09,ACTIVE
BR012,Trivandrum Main,SOUTH,Trivandrum,KL,India,2021-01-16,ACTIVE
BR013,Surat Ring Road,WEST,Surat,GJ,India,2021-03-11,ACTIVE
BR014,Lucknow Hazratganj,NORTH,Lucknow,UP,India,2022-06-21,ACTIVE
BR015,Bhopal New Market,CENTRAL,Bhopal,MP,India,2023-02-10,ACTIVE
BR016,Nashik Bazaar,WEST,Nashik,MH,India,2016-06-15,ACTIVE
BR017,Warangal Plaza,SOUTH,Warangal,TS,India,2020-09-08,ACTIVE
BR018,Gwalior Square,CENTRAL,Gwalior,MP,India,2020-02-08,ACTIVE
BR019,Jabalpur Street,CENTRAL,Jabalpur,MP,India,2019-11-25,ACTIVE
BR020,West Delhi Junction,NORTH,West Delhi,DL,India,2020-02-20,ACTIVE
BR021,Dwarka Bazaar,NORTH,Dwarka,DL,India,2021-07-01,ACTIVE
BR022,Shimoga Square,SOUTH,Shimoga,KA,India,2018-05-12,ACTIVE
BR023,Warangal Heights,SOUTH,Warangal,TS,India,2023-02-16,ACTIVE
BR024,Warangal Square,SOUTH,Warangal,TS,India,2025-04-21,ACTIVE
BR025,Rajkot Highway,WEST,Rajkot,GJ,India,2024-01-27,ACTIVE
BR026,Udaipur Road,NORTH,Udaipur,RJ,India,2021-06-02,ACTIVE
BR027,Jabalpur Road,CENTRAL,Jabalpur,MP,India,2018-06-03,ACTIVE
BR028,Mangalore Square,SOUTH,Mangalore,KA,India,2023-12-13,INACTIVE
BR029,Prayagraj Street,NORTH,Prayagraj,UP,India,2022-02-20,ACTIVE
BR030,South Delhi Plaza,NORTH,South Delhi,DL,India,2022-02-11,ACTIVE
BR031,Nellore Plaza,SOUTH,Nellore,AP,India,2016-04-06,ACTIVE
BR032,Ludhiana City Center,NORTH,Ludhiana,PB,India,2017-06-10,INACTIVE
BR033,Nellore Square,SOUTH,Nellore,AP,India,2016-12-12,ACTIVE
BR034,Mangalore Plaza,SOUTH,Mangalore,KA,India,2017-10-12,ACTIVE
BR035,Karimnagar City Center,SOUTH,Karimnagar,TS,India,2022-10-07,ACTIVE
BR036,Rohini Heights,NORTH,Rohini,DL,India,2023-05-31,INACTIVE
BR037,Amritsar City Center,NORTH,Amritsar,PB,India,2015-12-13,ACTIVE
BR038,Belgaum Plaza,SOUTH,Belgaum,KA,India,2018-06-19,INACTIVE
